Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1,Princeton University,"Engineering, Ivy League, Private School, Research University, For Sports Fans","$93,000 ","$189,400 ",50%,51%
1,Massachusetts Institute of Technology,"Engineering, Private School, Research University","$106,400 ","$189,400 ",49%,66%
3,United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School","$94,200 ","$181,500 ",52%,53%
4,Harvey Mudd College,"Engineering, Liberal Arts School, Private School","$110,400 ","$179,600 ",58%,79%
5,Stanford University,"Engineering, Private School, Research University, For Sports Fans","$98,900 ","$177,500 ",57%,52%
6,Babson College,"Business, Private School","$88,000 ","$175,200 ",47%,3%
7,Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans","$84,100 ","$173,800 ",42%,26%
8,Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans","$89,000 ","$173,300 ",44%,35%
9,Santa Clara University,"Private School, Religious, For Sports Fans","$87,300 ","$173,100 ",45%,23%
10,University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans","$89,100 ","$171,800 ",37%,25%
11,Harvard University,"Ivy League, Private School, Research University, For Sports Fans","$91,700 ","$171,400 ",50%,19%
12,United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$93,400 ","$171,000 ",65%,35%
13,Williams College,"Liberal Arts School, Private School","$81,900 ","$169,200 ",38%,36%
14,Stevens Institute of Technology,"Engineering, Private School, Research University","$90,300 ","$168,700 ",45%,71%
15,California Institute of Technology,"Engineering, Private School, Research University","$105,000 ","$168,600 ",50%,98%
16,Yale University,"Ivy League, Private School, Research University, For Sports Fans","$89,700 ","$168,300 ",51%,27%
17,Lehigh University,"Private School, Research University, For Sports Fans","$85,800 ","$168,200 ",41%,45%
18,Claremont McKenna College,"Liberal Arts School, Private School","$86,700 ","$167,000 ",53%,22%
18,University of California-Berkeley,"Research University, For Sports Fans, State School","$88,300 ","$167,000 ",49%,43%
20,United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$88,900 ","$166,100 ",63%,42%
21,Colorado School of Mines,"Engineering, Research University, State School","$87,800 ","$165,700 ",56%,91%
22,SUNY Maritime College,State School,"$86,800 ","$165,400 ",52%,18%
23,United States Merchant Marine Academy,"Engineering, State School","$98,400 ","$165,200 ",52%,51%
